"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","ScenarioContext demo","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:37 GMT 2025","","Demo","ScenarioContext demo",""
"","10810","Empty email validation is working on Contact Us page","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:48 GMT 2025","","Demo","Empty email validation is working on Contact Us page",""
"","2174","GET organization info","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:39 GMT 2025","","Demo API","GET organization info",""
"","2443","GET user info","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:39 GMT 2025","","Demo API","GET user info",""
"","3912","Empty email validation is working on Contact Us page","Surefire suite","Fri Jul 25 10:46:56 GMT 2025","passed","Fri Jul 25 10:47:00 GMT 2025","aquality.selenium.template.testng.tests.ContactUsTests","Surefire test","aquality.selenium.template.testng.tests.ContactUsTests","testEmailValidation"
"","2283","GET users info","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:40 GMT 2025","","Demo API","GET users info",""
"","132","ScenarioContext demo","","Fri Jul 25 10:46:37 GMT 2025","passed","Fri Jul 25 10:46:37 GMT 2025","","Demo","ScenarioContext demo",""
